Var,Gamma_1,SE_1,Gamma_2,SE_2
"DIST",-10.6653366794606,0.497042933967093,-5.24083079839821,0.3887679756572
"BORD",-0.571739370661355,0.169339804038024,-0.681027110248998,0.133705133979779
"LANG",-0.0843186087848567,0.06923213873399,0.302489645106721,0.0632975607324129
"CONT",0.67494022603768,0.0504877691570397,0.0767433823027229,0.0560511313618983
"DURAB",-0.157140912440155,0.108889591261603,1.29843496220335,0.121401387239563
"POLCOMP",-0.309020227903982,0.105421556247628,0.0705523861921969,0.0914648550288411
"AUTOC",0.324985271361125,0.114057143546795,-0.19540244321641,0.0985265516526546
"CURCOL",0.70251813890912,0.289161164004263,-0.773666985919253,0.208125857988741
"COLONY",0.13810463740123,0.214661226553947,1.07414973367594,0.157894997671585
"COMCOL",0.497415977799577,0.0791607383912448,0.452578364422552,0.0905112931867079
"SMCTRY",1.10534150764589,0.337546223184679,-0.0593902835969453,0.201920927494992
"xi",0.114848456153458,0.0291473429870114,0.114848456153458,0.0291473429870114
